project,url,license name,SPDX license id,license url,develop only
Qt,https://www.qt.io/,GNU General Public License v3.0 only,GPL-3.0-only,:/about/dep/gpl-3.0.txt, 0
CLI11,https://github.com/CLIUtils/CLI11,BSD 3-Clause "New" or "Revised" License,BSD-3-Clause,:/about/dep/cli11.txt, 0
ELFIO,https://github.com/serge1/ELFIO,MIT License,MIT,:/about/dep/elfio.txt, 0
Python,https://www.python.org/,Python Software Foundation License Version 2,PSF-2.0,:/about/dep/psf-2.0.txt, 1
Catch2,https://github.com/catchorg/Catch2,Boost Software License 1.0,BSL-1.0,:/about/dep/bsl-1.0.txt, 1
ANTLR4,https://github.com/antlr/antlr4,BSD 3-Clause "New" or "Revised" License,BSD-3-Clause,:/about/dep/antlr4.txt, 0
zpp::bits,https://github.com/eyalz800/zpp_bits,MIT License,MIT,:/about/dep/zpp.txt, 0
lru-cache,https://github.com/Matthew-McRaven/lru-cache,MIT License,MIT,:/about/dep/lru.txt,0
Material Icons / Symbols,https://github.com/google/material-design-icons,Apache License 2.0,Apache-2.0,:/about/dep/mdi.txt, 0
Lexilla,https://github.com/ScintillaOrg/lexilla,MIT License,MIT,:/about/dep/scintilla.txt, 0
Scintilla,https://www.scintilla.org/,MIT License,MIT,:/about/dep/scintilla.txt, 0
SciTEQt,https://github.com/mneuroth/SciTEQt,MIT License,MIT,:/about/dep/scintilla.txt, 1
Courier Prime,https://github.com/quoteunquoteapps/CourierPrime,SIL Open Font License 1.1,OFL-1.1,:/about/dep/ofl-prime.txt, 0
Monaspace,https://monaspace.githubnext.com,SIL Open Font License 1.1,OFL-1.1,:/about/dep/ofl-mona.txt, 0
KDDockWidgets,https://github.com/KDAB/KDDockWidgets,GNU General Public License v3.0 only,GPL-3.0-only,:/about/dep/kddw.txt, 0
spdlog,https://github.com/gabime/spdlog,MIT License,MIT,:/about/dep/spdlog.txt, 0
fmt,https://github.com/fmtlib/fmt,MIT License,MIT,:/about/dep/fmt.txt, 0
LLVM LEB128,https://llvm.org/,University of Illinois/NCSA Open Source License,NCSA,:/about/dep/llvm.txt, 0
flat,https://github.com/pubby/flat,Boost Software License 1.0,BSL-1.0,:/about/dep/bsl-1.0.txt, 0
